"result1","result2","result3","result4"
"1",0.75,2.84000000000378,3.25,3.48999999999796
"2",1.59999999999854,3.48999999999796,3.38999999999942,3.7300000000032
"3",2.29000000000087,4.44999999999709,4.38999999999942,4.65000000000146
"4",3.30000000000291,5.26000000000204,4.34999999999854,4.40999999999622
"5",4.34999999999854,6.37999999999738,3.88999999999942,5.5
"6",4.66999999999825,7.91999999999825,4.44999999999709,4.84999999999854
"7",5.62999999999738,8.06000000000495,4.72000000000116,5.31999999999971
"8",5.87999999999738,8.25,4.88999999999942,5.09000000000378
"9",6.84999999999854,9.47999999999593,5.0199999999968,5.75
"10",7.83000000000175,9.97999999999593,5.13999999999942,5.94999999999709
"11",8.30999999999767,11.3400000000038,5.58000000000175,5.69999999999709
"12",8.87999999999738,11.2799999999988,5.94999999999709,6.38999999999942
"13",9.91999999999825,12.2200000000012,6.27999999999884,5.70999999999913
"14",10.3300000000017,13.8799999999974,6.25,5.66999999999825
"15",11.9499999999971,13.9599999999991,6.97000000000116,5.91000000000349
"16",12.75,14.9700000000012,6.69999999999709,6.12999999999738
"17",12.8799999999974,16.1100000000006,7.52999999999884,6.15999999999622
"18",14.2200000000012,17.739999999998,7.37000000000262,6.42000000000553
"19",15.6800000000003,17.6100000000006,7.63999999999942,6.66999999999825
"20",18.5199999999968,18.3499999999985,8.19000000000233,6.68999999999505
